"layer","zindex","type","startZoom","stopZoom","filter","color","width","pattern"
,,"polygon",15,,"amenity = place_of_worship","0x777777",,
,,"polygon",10,,"leisure = track","0x74dcba",,
,,"polygon",12,,"aeroway = terminal","0xcc99ff",,
"highway-area-fill__highway-area-fill",,"polygon",14,,"highway = living_street","0xbbbbbb",,
,,"polygon",14,,"highway = residential or highway = unclassified or highway = service","0xffffff",,
,,"polygon",14,,"highway = pedestrian or highway = footway","0xededed",,
"misc_boundaries__boundary",,"polygon",7,10,"boundary = national_park","0x00FF00",,
,,"polygon",10,13,"boundary = national_park","0x00FF00",,
"roads",,"line",12,12,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147","2.25pt",
,,"line",12,12,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346","2.25pt",
,,"line",12,12,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48","1.875pt",
,,"line",13,14,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077","4.875pt",
,,"line",13,14,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147","5.625pt",
,,"line",13,14,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346","5.625pt",
,,"line",13,14,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48","6.375pt",
,,"line",15,16,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077","7.5pt",
,,"line",15,16,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147","8.625pt",
,,"line",15,16,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346","8.625pt",
,,"line",15,16,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48","8.625pt",
,,"line",17,,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x506077","9.75pt",
,,"line",17,,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x477147","12pt",
,,"line",17,,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0x8d4346","12pt",
,,"line",17,,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true OR tunnel = 1 )","0xa37b48","12pt",
,,"line",13,13,"highway = tertiary AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb","4.5pt",
,,"line",13,13,"highway = tertiary AND tunnel = yes OR tunnel = true","0x999999","4.5pt",
,,"line",13,13,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0x999999","2.25pt",
,,"line",13,13,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999","2.25pt",
,,"line",14,14,"highway = tertiary AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb","5.625pt",
,,"line",14,14,"highway = tertiary AND tunnel = yes OR tunnel = true","0x999999","5.625pt",
,,"line",14,14,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0x999999","3.375pt",
,,"line",14,14,"highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999","3.375pt",
,,"line",15,16,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb","8.25pt",
,,"line",15,16,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999","8.25pt",
,,"line",17,,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND  NOT ( tunnel = yes OR tunnel = true )","0xbbbbbb","12pt",
,,"line",17,,"highway = tertiary OR highway = residential OR highway = minor OR highway = unclassified OR highway = road AND tunnel = yes OR tunnel = true","0x999999","12pt",
,,"line",14,14,"highway = service AND  NOT ( service = parking_aisle OR tunnel = yes OR tunnel = true )","0x999999","2.25pt",
,,"line",14,14,"highway = service AND tunnel = yes OR tunnel = true","0x999999","2.25pt",
,,"line",15,,"highway = service AND  NOT ( service = parking_aisle OR tunnel = yes OR tunnel = true )","0x999999","6pt",
,,"line",15,,"highway = service AND tunnel = yes OR tunnel = true","0x999999","6pt",
,,"line",16,,"highway = service AND service = parking_aisle","0x999999","3pt",
,,"line",13,13,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000","1.5pt",
,,"line",13,13,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000","1.5pt",
,,"line",14,14,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000","2.7pt",
,,"line",14,14,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000","2.7pt",
,,"line",15,15,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000","4.875pt",
,,"line",15,15,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000","4.875pt",
,,"line",16,,"highway = pedestrian AND  NOT ( tunnel = yes OR tunnel = true )","0x000000","6.75pt",
,,"line",16,,"highway = pedestrian AND tunnel = yes OR tunnel = true","0x000000","6.75pt",
"minor-roads-fill__minor-roads-fill",,"line",12,12,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",2,
,,"line",12,12,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",2,
,,"line",13,15,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",4,
,,"line",13,15,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffb3",4,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xffffff",3.5,
,,"line",13,15,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xaaaaaa",4,
,,"line",16,,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND  NOT ( construction <> #EMPTY# )","0x9cc9cc",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0x809bc0",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = motorway OR construction = motorway_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xa9dba9",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = trunk OR construction = trunk_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = primary OR construction = primary_link","0xec989a",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xfed7a5",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = secondary OR construction = secondary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = tertiary OR construction = tertiary_link","0xffffb3",8,
,,"line",16,,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xffffff",7,
,,"line",16,,"highway = proposed OR highway = construction AND construction = residential OR construction = unclassified OR construction = living_street OR construction = service","0xaaaaaa",8,
,,"line",12,12,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0","1.5pt",
,,"line",13,14,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0","3.75pt",
,,"line",15,16,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0","6.375pt",
,,"line",17,,"highway = motorway AND  NOT ( tunnel = yes OR tunnel = true )","0x809bc0","8.25pt",
,,"line",12,12,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9","1.875pt",
,,"line",13,14,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9","5.25pt",
,,"line",15,16,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9","8.25pt",
,,"line",17,,"highway = trunk AND  NOT ( tunnel = yes OR tunnel = true )","0xa9dba9","11.625pt",
,,"line",11,12,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a","1.875pt",
,,"line",13,14,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a","5.25pt",
,,"line",15,16,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a","8.25pt",
,,"line",17,,"highway = primary AND  NOT ( tunnel = yes OR tunnel = true )","0xec989a","11.625pt",
,30,"line",12,12,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5","1.5pt",
,30,"line",13,14,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5","6pt",
,30,"line",15,16,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5","8.25pt",
,30,"line",17,,"highway = secondary AND  NOT ( tunnel = yes OR tunnel = true )","0xfed7a5","11.625pt",
